time,ax,ay,az,aMagnitude,Activity
250,-0.00067091,0.02592063,0.00023365,0.025930363,NO_ACTIVITY
251,0.009174615,0.010663509,0.009698868,0.017086604,NO_ACTIVITY
252,0.031151593,-0.007869244,0.025331497,0.04091493,NO_ACTIVITY
253,-0.00256291,-0.002710581,0.033698082,0.03390393,NO_ACTIVITY
254,0.005626202,-0.013549566,0.003689766,0.015128095,NO_ACTIVITY
255,-0.027776748,0.000628233,0.016685486,0.03240907,NO_ACTIVITY
256,-0.026437908,0.021817684,0.027196884,0.043756655,NO_ACTIVITY
257,-0.024033308,0.006114244,-0.009860039,0.026687155,NO_ACTIVITY
258,-0.008488357,-0.00722146,-0.012200356,0.016524236,NO_ACTIVITY
259,-0.016880929,-0.001494408,0.025854111,0.030913332,NO_ACTIVITY
260,0.00567469,-0.015908241,0.010165215,0.019713088,NO_ACTIVITY
261,-0.014591962,0.010365248,0.005332947,0.018676296,NO_ACTIVITY
262,-0.001474917,0.02098608,0.014797211,0.025720583,NO_ACTIVITY
263,0.003186196,0.016260147,-0.005468369,0.017448418,NO_ACTIVITY
264,-0.006029576,0.024055958,-0.009367943,0.026510437,NO_ACTIVITY
265,-0.01353091,-0.006350756,-0.025590897,0.029636323,NO_ACTIVITY
266,-0.008589089,-0.000110388,-0.000522614,0.008605682,NO_ACTIVITY
267,0.01776579,0.010678768,0.010187149,0.023096264,NO_ACTIVITY
268,-0.005871892,-0.052293301,0.008918762,0.053372397,NO_ACTIVITY
269,0.021580964,0.004094362,0.018371582,0.028635936,NO_ACTIVITY
270,0.000246495,-0.042323112,0.024132729,0.048720583,NO_ACTIVITY
271,0.024198771,-0.036118507,-0.014105797,0.04570668,NO_ACTIVITY
272,0.057156175,-0.029988289,0.033501625,0.072721969,NO_ACTIVITY
273,0.009254664,-0.001341343,-0.007191658,0.011796947,NO_ACTIVITY
274,0.022267729,-0.00391674,0.013010979,0.026085977,NO_ACTIVITY
275,0.006546795,-0.023096561,0.01761055,0.029773195,NO_ACTIVITY
276,0.000420362,-0.001682997,0.043564796,0.04359932,NO_ACTIVITY
277,0.005661905,-0.00739193,0.015024185,0.017675518,NO_ACTIVITY
278,0.010581851,-0.001420498,0.013647079,0.017327324,NO_ACTIVITY
279,0.005903602,0.016090631,-0.005707741,0.018064862,NO_ACTIVITY
280,0.023722619,0.017973423,0.008401871,0.030925685,NO_ACTIVITY
281,-0.015350938,0.022901297,-0.042011261,0.050250042,NO_ACTIVITY
282,-0.001475424,0.012413979,-0.005969048,0.013853276,NO_ACTIVITY
283,-0.019692123,-0.000573874,-0.040358543,0.044910144,NO_ACTIVITY
284,-0.054353505,0.003386497,-0.022152901,0.058792201,NO_ACTIVITY
285,-0.000711799,0.029825687,0.030328751,0.042543053,NO_ACTIVITY
286,-0.022504181,0.014394999,-0.001969337,0.026786796,NO_ACTIVITY
287,-0.012031019,0.022977114,-0.030405998,0.039965209,NO_ACTIVITY
288,0.008820176,0.002983809,-0.008708954,0.012749294,NO_ACTIVITY
289,-0.01336503,0.03427887,-0.009744644,0.038060781,NO_ACTIVITY
290,-0.021257848,0.016537905,-0.010781288,0.029010938,NO_ACTIVITY
291,-0.012652218,-0.011852503,-0.002325058,0.017491894,NO_ACTIVITY
292,-0.031573415,-0.003413916,-0.007641792,0.03266393,NO_ACTIVITY
293,0.005284667,0.008772373,-0.049740791,0.050784137,NO_ACTIVITY
294,0.001541913,0.020661831,-0.005269051,0.021378766,NO_ACTIVITY
295,0.018945873,-0.03663516,-0.007608414,0.041940065,NO_ACTIVITY
296,0.021965772,-0.014985323,-0.017037392,0.031580496,NO_ACTIVITY
297,0.00456804,-0.006895781,-0.022888184,0.024336962,NO_ACTIVITY
298,0.027959287,0.016662836,-0.037281036,0.049489873,NO_ACTIVITY
299,-0.012313247,0.003675342,-0.056136131,0.057588101,NO_ACTIVITY
300,1.55e-06,-0.010100007,-0.06052494,0.061361866,NO_ACTIVITY
301,0.014473617,0.014503598,-0.055334091,0.059005945,NO_ACTIVITY
302,-0.022143722,0.016502261,-0.053708076,0.060392272,NO_ACTIVITY
303,-0.001600504,-0.028592944,-0.084093094,0.088835615,NO_ACTIVITY
304,-0.015715718,0.014630556,-0.056018829,0.059992885,NO_ACTIVITY
305,-0.02336818,0.006418467,-0.007728577,0.025436184,NO_ACTIVITY
306,0.023127496,0.025318146,0.024025917,0.041870446,NO_ACTIVITY
307,-0.025101453,0.007444143,0.030667305,0.040323465,NO_ACTIVITY
308,0.000621021,-0.036481142,-0.010903358,0.038080738,NO_ACTIVITY
309,0.020751715,0.014380217,-0.016565323,0.030196593,NO_ACTIVITY
310,0.027471572,-0.003487825,0.009730339,0.02935186,NO_ACTIVITY
311,0.008180469,0.001521349,-0.018803596,0.02056234,NO_ACTIVITY
312,0.030729353,0.015934467,-0.038801193,0.051997433,NO_ACTIVITY
313,0.023571938,0.030125618,0.011413574,0.039918151,NO_ACTIVITY
314,-0.00483501,-0.015054464,-0.023094177,0.027988484,NO_ACTIVITY
315,-0.000670254,-0.010055542,-0.01339817,0.016765266,NO_ACTIVITY
316,-4.49e-05,-0.033472061,-0.021570206,0.03982028,NO_ACTIVITY
317,-0.001685262,0.016818523,0.001173019,0.0169434,NO_ACTIVITY
318,-0.049618512,-0.030709028,-0.00834465,0.058946369,NO_ACTIVITY
319,-0.024791569,-0.016126633,-0.003537178,0.029785933,NO_ACTIVITY
